# sensors.csv - Ingenic sensor identification database (source of truth)
# name,i2c_addr,mclk_hz,id_regs,id_vals,reg_bytes,val_bytes,soc
#   id_regs/id_vals: colon-separated, same length; widths in bytes (1-4)
#   soc: any | t41-only | not-t41
# ORDER MATTERS: first entry among identical-ID rebadges becomes the
# reported primary name. Keep vendor families grouped.

# disabled in the module source (shared Sony IDs): imx219,0x1a,24000000,0x3008:0x301e,0xA0:0xB2,2,1,any
# disabled in the module source (shared Sony IDs): imx291,0x1a,37125000,0x3008:0x301e,0xA0:0xB2,2,1,any
jxh63ps2,0x46,24000000,0x0a:0x0b,0x08:0x48,1,1,any
jxh65,0x30,24000000,0xa:0xb,0x0a:0x65,1,1,any
jxh66,0x40,24000000,0x0a:0x0b,0x0a:0x66,1,1,any
jxk02,0x40,24000000,0xa:0xb,0x04:0x03,1,1,any
jxk03,0x40,24000000,0xa:0xb,0x05:0x03,1,1,any
jxk04,0x40,24000000,0xa:0xb,0x04:0x04,1,1,any
jxk05,0x40,24000000,0xa:0xb,0x05:0x05,1,1,any
jxk06,0x40,24000000,0xa:0xb,0x08:0x52,1,1,any
jxk08,0x40,24000000,0xa:0xb,0x06:0x05,1,1,any
jxk251,0x40,24000000,0x0a:0x0b,0x08:0x54,1,1,any
jxk306p,0x40,24000000,0x0a:0x0b,0x08:0x60,1,1,any
jxk308p,0x40,27000000,0x0a:0x0b,0x08:0x47,1,1,any
jxk347p,0x40,24000000,0x0b:0x0a,0x68:0x01,1,1,any
jxk351p,0x40,24000000,0x0a:0x0b,0x08:0x56,1,1,any
jxk362p,0x40,24000000,0x0a:0x0b,0x08:0x47,1,1,any
jxq03,0x40,24000000,0xa:0xb,0x05:0x07,1,1,any
jxq03p,0x40,24000000,0xa:0xb,0x08:0x43,1,1,any
jxv01,0x21,27000000,0xa:0xb,0x0e:0x04,1,1,any
mis2003,0x30,24000000,0x3000:0x3001,0x20:0x03,2,1,any
mis2006,0x30,24000000,0x3000:0x3001,0x20:0x06,2,1,any
mis2008,0x30,24000000,0x3000:0x3001,0x20:0x08,2,1,any
mis2009,0x30,24000000,0x3000:0x3001,0x20:0x08,2,1,any
mis2031,0x30,24000000,0x3000:0x3001,0x20:0x09,2,1,any
mis2032,0x30,24000000,0x3000:0x3001,0x20:0x09,2,1,any
mis20s1,0x30,27000000,0x3000:0x3001,0x20:0xe1,2,1,any
mis4001,0x30,27000000,0x3000:0x3001,0x13:0x11,2,1,any
mis40c1,0x30,24000000,0x3004:0x3005,0x00:0x04,2,1,any
mis5001,0x30,24000000,0x3000:0x3001,0x13:0x11,2,1,any
mis5011,0x30,24000000,0x3000:0x3001,0x50:0x03,2,1,any
mis8001,0x36,24000000,0x3107:0x3108,0x82:0x35,2,1,any
n5,0x32,24000000,0x08:0x09,0x00:0x00,1,1,any
og02b10,0x36,24000000,0x300a:0x300b,0x23:0xa0,2,1,any
og05b10,0x36,24000000,0x300a:0x300b,0x58:0x42,2,1,any
os02b10,0x3c,24000000,0x02:0x03,0x23:0x08,1,1,any
os02d20,0x3d,24000000,0x02:0x03,0x23:0x02,1,1,any
os02g10,0x3c,24000000,0x02:0x03:0x04,0x56:0x02:0x47,1,1,any
os02h10,0x3c,24000000,0x02:0x03,0x53:0x10,1,1,any
os02k10,0x36,24000000,0x300a:0x300b,0x53:0x43,2,1,any
os03a10,0x36,24000000,0x300a:0x300b,0x53:0x41,2,1,any
os03b10,0x3c,24000000,0x02:0x03:0x04,0x53:0x03:0x42,1,1,any
os04a10,0x36,24000000,0x300a:0x300b:0x300c,0x53:0x04:0x41,2,1,any
os04b10,0x3c,24000000,0x02:0x03:0x04,0x43:0x08:0x01,1,1,any
os04c10,0x36,24000000,0x300a:0x300b,0x53:0x04,2,1,any
os04d10,0x3c,24000000,0x02:0x03,0x53:0x04,1,1,any
os04e10,0x36,24000000,0x300a:0x300b,0x53:0x45,2,1,any
os04j10,0x3c,24000000,0x02:0x03,0x53:0x4a,1,1,any
os04l10,0x36,24000000,0x02:0x03,0x53:0x4c,1,1,any
os05a10,0x36,24000000,0x300a:0x300b:0x300c,0x53:0x05:0x41,2,1,any
os05l10,0x3c,24000000,0x03:0x02,0x53:0x4C,1,1,any
os06a10,0x36,24000000,0x300a:0x300b,0x53:0x41,2,1,any
os08a10,0x36,24000000,0x300a:0x300b:0x300c,0x53:0x08:0x41,2,1,any
os08c10,0x36,24000000,0x300a:0x300b,0x53:0x43,2,1,any
